rank,Importance,Flare_Region,Start_Date,CME_Date,End_Date
1,X28,10486,2003-11-04 20:00:00,2003-11-04 19:54:00,2003-11-04 23:00:00
2,X20,9393,2001-04-02 22:05:00,2001-04-02 22:06:00,2001-04-03 02:30:00
3,X17,10486,2003-10-28 11:10:00,2003-10-28 11:30:00,2003-10-29 23:00:00
4,X14,9415,2001-04-15 14:05:00,2001-04-15 14:06:00,2001-04-16 13:00:00
5,X10,10486,2003-10-29 20:55:00,2003-10-29 20:54:00,2003-10-29 23:00:00
6,X9.4,8100,1997-11-06 12:20:00,1997-11-06 12:10:00,1997-11-07 08:30:00
7,X9.3,12673,2017-09-06 12:05:00,2017-09-06 12:24:00,2017-09-07 08:00:00
8,X9.0,10930,2006-12-05 10:50:00,,2006-12-05 20:00:00
9,X8.3,10486,2003-11-02 17:30:00,2003-11-02 17:30:00,2003-11-03 01:00:00
10,X8.3,-----,2017-09-10 16:02:00,2017-09-10 16:00:00,2017-09-11 06:50:00
11,X7.1,10720,2005-01-20 07:15:00,2005-01-20 06:54:00,2005-01-20 16:30:00
12,X6.9,11263,2011-08-09 08:20:00,2011-08-09 08:12:00,2011-08-09 08:35:00
13,X6.5,10930,2006-12-06 19:00:00,,2006-12-08 23:00:00
14,X6.2,10808,2005-09-09 19:45:00,2005-09-09 19:48:00,2005-09-09 22:00:00
15,X5.7,9077,2000-07-14 10:30:00,2000-07-14 10:54:00,2000-07-15 14:30:00
16,X5.6,9415,2001-04-06 19:35:00,2001-04-06 19:30:00,2001-04-07 01:50:00
17,X5.4,11429,2012-03-07 01:00:00,2012-03-07 00:24:00,2012-03-08 19:00:00
18,X5.3,9591,2001-08-25 16:50:00,2001-08-25 16:50:00,2001-08-25 23:00:00
19,X4.9,11990,2014-02-25 00:56:00,2014-02-25 01:25:00,2014-02-25 11:28:00
20,X4.8,10039,2002-07-23 00:50:00,2002-07-23 00:42:00,2002-07-23 04:00:00
21,X4.0,9236,2000-11-26 17:00:00,2000-11-26 17:06:00,2000-11-26 17:15:00
22,X3.9,10488,2003-11-03 10:00:00,2003-11-03 10:06:00,2003-11-03 12:30:00
23,X3.8,10720,2005-01-17 10:00:00,2005-01-17 09:54:00,2005-01-17 10:35:00
24,X3.6,10365,2003-05-28 01:00:00,2003-05-28 00:50:00,2003-05-29 00:30:00
25,X3.4,9756,2001-12-28 20:35:00,2001-12-28 20:30:00,2001-12-29 03:00:00
26,X3.4,10930,2006-12-13 02:45:00,2006-12-13 02:54:00,2006-12-13 10:40:00
27,X3.3,10039,2002-07-20 21:30:00,2002-07-20 22:06:00,2002-07-20 22:20:00
28,X3.2,11748,2013-05-14 01:16:00,2013-05-14 01:25:00,2013-05-14 08:20:00
29,X3.1,10069,2002-08-24 01:45:00,2002-08-24 01:27:00,2002-08-24 03:25:00
30,X2.8,11748,2013-05-13 16:15:00,2013-05-13 16:07:00,2013-05-13 19:10:00
31,X2.7,8210,1998-05-06 08:25:00,1998-05-06 08:29:00,1998-05-06 08:35:00
32,X2.7,10488,2003-11-03 01:15:00,2003-11-03 01:59:00,2003-11-03 01:25:00
33,X2.7,12339,2015-05-05 22:24:00,2015-05-05 22:24:00,2015-05-05 23:14:00
34,X2.6,8113,1997-11-27 13:30:00,1997-11-27 13:56:00,1997-11-27 14:00:00
35,X2.6,9632,2001-09-24 10:45:00,2001-09-24 10:30:00,2001-09-25 20:00:00
36,X2.6,10720,2005-01-15 23:00:00,2005-01-15 23:06:00,2005-01-17 00:00:00
37,X2.5,10696,2004-11-10 02:25:00,2004-11-10 02:26:00,2004-11-10 03:40:00
38,X2.3,9026,2000-06-06 15:20:00,2000-06-06 15:54:00,2000-06-08 09:00:00
39,X2.3,9236,2000-11-24 15:25:00,2000-11-24 15:30:00,2000-11-24 22:00:00
40,X2.3,9415,2001-04-10 05:24:00,2001-04-10 05:30:00,2001-04-10 23:00:00
41,X2.2,11158,2011-02-15 02:10:00,2011-02-15 02:24:00,2011-02-15 07:00:00
42,X2.1,8100,1997-11-04 06:00:00,1997-11-04 06:10:00,1997-11-05 04:30:00
43,X2.1,10808,2005-09-10 21:45:00,2005-09-10 21:52:00,2005-09-11 01:00:00
44,X2.1,11283,2011-09-06 22:30:00,2011-09-06 23:05:00,2011-09-07 15:40:00
45,X2.1,11882,2013-10-25 15:08:00,2013-10-25 15:12:00,2013-10-25 22:32:00
46,X2.0,9236,2000-11-24 05:10:00,2000-11-24 05:30:00,2000-11-24 15:00:00
47,X2.0,9415,2001-04-12 10:20:00,2001-04-12 10:31:00,2001-04-12 10:40:00
48,X2.0,10696,2004-11-07 16:25:00,2004-11-07 16:54:00,2004-11-08 20:00:00
49,X2.0,10720,2005-01-17 09:25:00,2005-01-17 09:30:00,2005-01-17 16:00:00
50,X1.9,9236,2000-11-25 19:00:00,2000-11-25 19:31:00,2000-11-25 19:35:00
